German,English
brauche,need
fertig,finished
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,Help
verdammt,Damn it
ne,ne
jeder,everyone
warst,beings
gern,gladly
konnte,could
darüber,about that
halten,keep
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,hers
denken,think
könnten,might
dank,thanks to
würden,would
lieber,rather
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
mag,like
sieh,see
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
männer,Men
baby,infant
fahren,drive
namen,names
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,luck
letzte,last
freunde,friends
n,n
all,Alles
darauf,thereon
ende,end
dr.,Dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,over
treffen,meeting
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,worries
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,Looking for
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,to understand
spielen,to play
s.,s.
überhaupt,at all
teufel,devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,sweetheart
endlich,at last
he,hey
nimm,take
etwa,about
erzählt,told
läuft,runs
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,definitely
hoch,high
alter,Age
sagst,say
schau,look
ah,ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,favor
spaß,fun
niemals,No way
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leaving
zeigen,demonstrate
beste,best
ernst,serious
unserer,ours
denen,whom
ort,location
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,in between
eben,even
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,friend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,days
entschuldigen,to apologize
wichtig,important
gehst,walking
allen,all
bett,bed
mrs.,Mrs.
sachen,stuff
the,the
schlecht,bad
schule,school
entschuldigung,Sorry
wort,word
john,John
hättest,would have
wären,be
typ,Type
schlafen,sleep
äh,ah
tu,TU
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tust
trinken,drink
einige,some
dies,this
ding,thing
unseren,ours
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,seems
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunite
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,enough
fest,Celebration
besten,best
waffe,weapon
kaum,hardly
irgendwas,anything
klingt,sounds
platz,space
brauchst,needs
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
früher,previously
jungen,boys
wohin,where
außer,except
früh,early
setzen,put
zuerst,first
wahrscheinlich,probably
dürfen,allowed to
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would be
bring,bring
fehler,mistake
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,amount
langsam,slow
bereits,already
wartet,waiting
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,gift
wochen,weeks
ruf,call
schaffen,create
leider,unfortunately
scheiß,shit
hölle,hell
trotzdem,Nevertheless
doktor,doctor
tja,well
new,new
voll,full
film,Movie
überall,all over
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,thereafter
funktioniert,is working
hattest,hate
lernen,to learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,to lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
könntest,might
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,that is
groß,big
hol,brow
buch,a book
krank,Sick
fühle,feel
jedes,every
verstehst,understand
wert,value
arzt,doctor
froh,joyful
versuche,tries
straße,road
rufen,call
heiraten,marry
super,great
sam,sam
lebt,lives
gutes,good
lasse,let
onkel,uncle
total,total
gebracht,brought
party,party
erklären,to explain
spielt,plays
wahl,choice
vertrauen,trust
damals,back then
tagen,days
leicht,easy
nachdem,after this
gegangen,gone
gefühl,feeling
kaufen,to buy
geschafft,made
typen,guy
interessiert,Interested
möchten,want
halte,hold
hält,holds
glaub,belief
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
drüben,over there
passt,fits
sagten,said
kümmern,To take care of
laut,noisy
vergiss,forgetful
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,victim
körper,body
solche,such
mist,damn
mr,MR
findet,find
schreiben,write
böse,angry
gesprochen,spoken
versuch,experiment
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,flat
weh,sore
heißen,mean
krankenhaus,hospital
bringe,bring
höre,listen
millionen,millions
klasse,class
hart,hard
worden,gone
sinn,sense
außerdem,in addition to that
verletzt,hurt
ändern,change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,careful
daddy,daddy
stolz,proud
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,especially
schöne,lovely
schicken,send
person,person
schätze,appreciate
solange,so long
länger,longer
großartig,Great
lacht,laughs
anrufen,call up
stand,was standing
redest,speech
fühlen,feel
erwartet,expected
boden,ground
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,safety
setz,setting
ma,MA
mund,mouth
kämpfen,battle
wisst,know
lachen,laugh
hörst,hear
zeug,things
lustig,fun
umbringen,kill
sollst,thorough
hasse,hate
schlimm,terrible
o,O
unglaublich,unbelievable
wärst,be
laden,load
führen,to lead
gestorben,died
schauen,watch
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,shop
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,Mike
aufs,onto
york,York
vorher,before
schluss,Enough
schneller,more quickly
liebt,loved
verdient,earned
mögen,to like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,remind
acht,eight
arbeitet,is working
fallen,fall
rufe,calls
nötig,necessary
a,A
mord,murder
heraus,out of here
tages,day
unmöglich,impossible
liebling,Darling
charlie,Charlie
tatsächlich,indeed
folgen,follow
bitten,request
behalten,to keep
nähe,vicinity
arbeite,work
joe,Joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,hole
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,to sell
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,Ha
hotel,hotel
hilft,helps
werdet,become
meister,master
kampf,struggle
antwort,reply
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,funny
gewinnen,to win
ihres,hers
bezahlt,paid
you,you
voller,full of
unterwegs,on road
dumm,stupid
ärger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,Tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,saved
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,to catch
fort,on
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,werry
ziel,target
benutzt,used
bewegung,Move
jemandem,someone
wünschte,wish
worte,words
kamen,came
welcher,which one
zahlen,to count
anfang,beginning
legen,lay
erinnerst,remembered
anwalt,attorney
fahr,driving
sitzt,sitting
hilf,help
offen,open
schönen,nice
monsieur,Monsieur
müsste,should
arme,poor
bier,beer
fürs,for
partner,partner
klein,small
david,David
klappe,flap
süß,Sweet
herum,hereabouts
finger,finger
ehe,marriage
rolle,role
ließ,left
gleiche,same
monat,month
hochzeit,marriage
max,Max
führt,leads
paris,Paris
wach,awake
wozu,for what reason
arm,poor
geschrieben,written
chef,boss
benutzen,to use
informationen,information
erledigt,done
hoffentlich,hopefully
müsst,must
fühlt,feels
tanzen,dance
ansehen,look at
darfst,may
zuhause,at home
wunderbar,Marvelous
hältst,hold
reise,travel
gewonnen,won
dame,lady
irgendwann,Sometime
chffffff,CHFFFFFF
alex,Alex
steckt,plugged
jedenfalls,in any case
schreit,cries
tolle,amazing
rüber,over
tschüss,bye Bye
nennt,names
raum,space
heiß,hot
foto,photo
kalt,cold
paul,Paul
irgendetwas,anything
weile,while
bisher,so far
minute,minute
unbedingt,Absolutely
zug,train
sekunden,seconds
wofür,for what
erzähl,tell
nen,nen
beweise,proofs
nahm,took
aller,all
freut,is happy
seele,soul
schießen,shoot
müde,weary
dauert,lasts
magst,like
harry,Harry
brief,letter
gelernt,learned
sucht,seeks
bekannt,known
weitere,Further
unfall,accident
dahin,then
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,heart
schlagen,hit
wütend,furious
weise,wise
damen,ladies
darin,in this
gottes,God
holt,get
fehlt,is missing
vorsicht,Attention
heiße,name is
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
hübsch,pretty
kriegt,gets
verbindung,link
tief,deep
richtung,direction
lage,position
sowieso,anyway
kraft,power
normal,normal
lauf,run
ehre,honor
stell,stall
geschenk,gift
bar,bar
tasche,bag
gelesen,had read
gekauft,Bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lügen,lying
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,standing
nächstes,next
gearbeitet,worked
preis,price
witz,joke
meinte,meant
liste,list
geist,ghost
neben,Next
gesucht,searched
firma,company
süße,sweetness
rücken,move
schrecklich,dreadful
letzter,last
verliebt,amorous
öffnen,to open
redet,talking
boot,boat
seltsam,strange
versteckt,hidden
fürchte,fear
verschwinde,disappear
erwischt,Caught
verkauft,sold
tante,aunt
erwarten,expect
pferd,horse
wunder,wonder
sauer,angry
vermutlich,allegedly
näher,closer
major,major
jung,young
majestät,majesty
aussehen,look
ans,ans
de,de
and,and
links,Left
großes,big
welches,which
beschützen,to protect
geboren,born
erreichen,reach
punkt,Point
kindern,children
kirche,church
verraten,reveal
selber,myself
befehl,command
colonel,colonel
fährt,moves
zieht,pull
geburtstag,date of birth
haut,skin
wette,bet
reich,rich
sekunde,second
fahre,drive
schwöre,swear
geredet,talked out
james,James
madame,Madame
eigene,own
zeiten,times
traurig,Sad
anruf,Call
nachrichten,Messages
frieden,peace
karte,map
güte,quality
euren,yours
diesmal,this time
schade,a pity
persönlich,personally
kriege,wars
stirbt,dies
bleibe,stay
verändert,changes
sonne,Sun
lieb,dear
nämlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,court
nase,nose
ewig,eternal
singen,to sing
bank,Bank
beschäftigt,employed
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,oh well
henry,henry
gefühle,feelings
fuß,foot
show,show
überraschung,surprise
geheimnis,secret
fbi,FBI
kontakt,Contact
gold,gold
drogen,drugs
regierung,government
wein,Wine
kriegst,get
ermordet,murdered
fotos,photos
entfernt,away
geschlafen,slept
manche,some
erledigen,take care of
ran,ran
gegenüber,opposite to
schlaf,sleep
lust,desire
wunderschön,very beautiful
witzig,funny
nick,nick
zerstört,destroyed
übrigens,by the way
willen,sake
heim,home
richtigen,right
deines,yours
namens,called
zeigt,indicates
geliebt,loved
gehören,belong
brachte,brought
herrn,Mr
blick,view
besuch,visit
schlechte,bad
bewegen,move
haare,hair
antworten,reply
präsident,president
sagtest,says
hoffnung,hope
stecken,put
lebe,live
rechts,to the right
interessant,Interesting
entscheiden,decide
miteinander,commonality
meint,means
liebst,loving
indem,in which
bleibst,stay
kümmere,care
wohnen,reside
weder,neither
möglichkeit,opportunity
kaputt,broken
bekomme,get
flugzeug,airplane
vergangenheit,past
anderer,another
zweite,second
armee,army
jim,Jim
tee,tea
entweder,either
weiss,White
don,Don
detective,detective
aufhalten,stop
stellt,places
verspreche,promise
überrascht,surprised
sauber,clean
hau,hood
mark,mark
schlag,punch
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,question
vaters,father
nervös,nervous
gesellschaft,society
verstecken,hide
schuldig,guilty
hals,neck
schützen,protection
besuchen,to visit
of,of
passen,fit
überleben,to survive
erhalten,receive
teilen,share
gebäude,building
schicksal,fate
zeichen,sign
richter,judge
besorgt,concerned
küche,kitchen
lief,ran
vergnügen,enjoyment
wüsste,desire
volk,people
lhr,LHR
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,to celebrate
situation,situation
lag,lag
gelassen,calmly
allerdings,Indeed
soweit,so far
gefahren,hazards
verstand,understanding
bord,board
schönes,beautiful
jimmy,Jimmy
billy,Billy
angefangen,begun
lee,lee
fühlst,feel
bob,bob
mussten,had to
rat,advice
worauf,whereupon
gebeten,requested
tony,tony
kamera,camera
achtung,Danger
lieutenant,lieutenant
ganzes,whole
schuhe,Shoes
sarah,Sarah
glückwunsch,congratulation
niemandem,no one
gibst,give
statt,instead of
übernehmen,take over
gegend,area
wald,forest
al,al
la,la
nimmst,take
danny,Danny
erkennen,recognize
glas,Glass
falsche,wrong
verantwortlich,responsible
jesus,Jesus
stöhnt,groaned
herein,in
kleid,dress
zerstören,destroy
jawohl,Yes sir
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,look
nahe,vicinity
aussieht,looks
beginnen,start
dachten,thought
band,tape
ungefähr,approximately
aufgabe,task
neun,nine
furchtbar,awful
drinnen,inside
zuvor,before
charles,Charles
freue,am happy
amerika,America
übrig,left over
spur,track
falschen,false
sergeant,sergeant
melden,Report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remind
hängt,hangs
freude,pleasure
ehemann,husband
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damn
brauch,custom
gewusst,knew
vorne,in front
stopp,stop
übel,bad
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
pro,Per
leisten,Afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
hälfte,half
kannte,knew
stehe,stand
maria,Maria
planeten,planet
schwanger,pregnant
gruppe,group
anna,Anna
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
händen,hands
versteht,understands
drehen,turn
eis,ice
danken,to thank
erfolg,success
zufrieden,satisfied
schließen,shut down
besorgen,obtain
wochenende,weekend
worüber,about what
stimmen,voices
nehmt,take
martin,Martin
m,m
witze,jokes
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,yours
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,resemble
fernsehen,watch TV
wünsche,Wishes
schließlich,after all
gefangen,caught
schätzchen,baby
seh,see
schwierig,difficult
angebot,offer
nah,close
jane,Jane
gewartet,waited
kümmert,takes care
ring,ring
rennen,run
lied,song
eier,egg
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,cases
drink,drink
insel,island
dauern,last
daher,hence
zufällig,coincidentally
dorf,village
clark,Clark
bewegt,emotional
mitten,in the middle
bullen,cops
feind,enemy
einverstanden,I Agree
neuer,news
bauen,to build
trägt,carries
hängen,hang
freunden,friends
deren,whose
halb,half
verpasst,lost
sprach,speech
leise,quietly
armen,arm
wusstest,chewing test
fanden,found
unternehmen,Companies
träume,dreams
schläft,is sleeping
kostet,costs
spiele,game
unseres,ours
entlang,along
johnny,Johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,earn
aha,Aha
unterhalten,converse
eingeladen,invited
schaden,damage
genannt,called
beenden,break up
ray,ray
geändert,changed
thomas,Thomas
lächerlich,ridiculous
geschlagen,beaten
park,park
schätzen,estimate
männern,male
t,T
beginnt,begins
ehren,to honor
größte,greatest
energie,energy
fleisch,flesh
besonderes,special
besteht,consists
reichen,pass
robert,Robert
zeitung,newspaper
worum,what
nachgedacht,thoughtful
betrunken,drunk
sowas,like this
patienten,patient
gespräch,conversation
leiden,Suffer
taxi,taxi
tötet,killed
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
bus,bus
lhre,lhre
angriff,attack
verhalten,behave
loch,hole
interesse,interest
treten,to step
quatsch,rubbish
trifft,meets
polizist,police officer
blumen,flower
neuigkeiten,news
bringst,brings
flasche,bottle
rief,called
schuss,shot
fassen,grasp
meer,sea
konntest,can
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,Eddie
bekommst,get
verbringen,spend
bücher,Books
blöd,silly
frühstück,breakfast
tommy,Tommy
meter,meter
bilder,pictures
aufpassen,watch after
claire,claire
dessen,whose
muß,got to
freuen,be happy
engel,Angel
offenbar,apparently
gelegenheit,opportunity
fang,catch
lüge,lie
ohren,ears
au,au
angetan,impressed
beeil,hurry
brechen,break
brüder,brothers
zeitpunkt,time
keinem,none
ecke,corner
brücke,bridge
druck,pressure
mitgebracht,brought with them
seufzt,sigh
date,date
haufen,heap
oma,granny
auftrag,assignment
leer,empty
entkommen,escape
bobby,Bobby
weißen,white
lösung,solution
wart,wart
pause,Break
irre,crazy
gestellt,placed
keller,"basement, cellar"
gebrochen,Broken
weinen,cry
nutzen,to use
wünschen,to wish
fragt,asks
maul,mouth
verantwortung,responsibility
schloss,Castle
hut,cap
lächeln,smile
ryan,ryan
red,red
grad,Degree
zweiten,second
hinaus,out of
mitkommen,come along
vorhin,earlier
fahrt,journey
gemeint,meant
ernsthaft,serious
gebaut,built -up
bombe,bomb
hasst,hate
versteh,understand
kosten,costs
zeige,show
traf,met
eigenes,own
haar,hair
fragte,asked
jason,Jason
operation,surgery
befehle,commands
schmerzen,pains
erklärt,explained
steve,Steve
dach,"top, roof"
folge,episode
gelaufen,ran
schwarze,black
dankbar,thankful
gehirn,brain
töte,killing
mädels,girls
mut,courage
heilige,holy
laura,Laura
tier,animal
system,system
mannes,man
wahnsinn,craziness
nee,no
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,holiday
steig,climb
vorwärts,forward
überprüfen,check over
besseres,better
beweis,proof
baum,tree
gebt,giving
funktionieren,function
anscheinend,apparently
lehrer,teacher
hoffen,to hope
bessere,better
isst,eats
nachmittag,afternoon
nem,nem
risiko,risk
chuck,chuck
knast,jail
entschuldigt,sorry
gilt,is applicable
held,hero
daraus,from this
erstes,first
fräulein,young lady
rachel,revenge
prima,great
brauchte,needed
gewalt,violence
dean,dean
liebes,Dear
schaffst,manage
nachdenken,think
tor,gate
erfahrung,experience
pläne,plans
jagen,to hunt
katze,cat
runde,round
deutsche,German
schwanz,tail
taten,deeds
lord,lord
dringend,urgently
commander,commander
großvater,grandfather
sommer,summer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drunk
wahre,real
luke,hatch
kunden,customers
kate,Kate
zeugen,witness
geplant,planned
amanda,amanda
erreicht,reached
stören,disturb
stein,stone
atmen,to breathe
hose,trousers
weiße,white
sprichst,speak
größer,greater
schickt,send
city,City
prinz,prince
behandelt,treated
tote,dead
überlegen,think
karten,cards
it,IT
d,D
restaurant,restaurant
welchem,which
roger,Roger
natur,nature
carter,carter
emily,Emily
mami,mommy
verschwindet,disappears
lautet,is the case
streit,argument
küssen,kiss
sprich,speaking
längst,a long time ago
fängt,catches
drüber,over it
gingen,went
erlaubt,permitted
einzigen,single
bad,bath
schmeckt,tastes
kugel,Bullet
normalerweise,usually
schwarzen,black
rauf,up
flug,flight
beruhigen,calm
walter,Walter
halbe,half
dan,Dan
geschieht,happens
einiges,some
entdeckt,discovered
morgens,In the morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,tracked
college,college
weiteren,further
chris,chris
louis,louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damn
dürfte,should
riecht,smells
labor,laboratory
bat,bat
tim,Tim
arthur,arthur
mindestens,at least
fisch,fish
eurem,of your
füße,feet
stehst,stand
erschießen,shoot
kuchen,cake
versuchte,tried
zustand,Status
wunsch,wish
gäste,Guests
erwähnt,mentioned
farbe,color
van,van
einigen,agree
zufall,coincidence
garten,garden
junger,younger
autos,cars
abgesehen,beyond
fair,fair
vertraut,trusted
koffer,suitcase
hieß,was called
kurs,course
wirkt,acts
idioten,idiot
netter,nicer
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
ähnlich,similar
lily,lily
aufgeben,give up
england,England
entführt,kidnapped
ms.,MS.
mistkerl,maneuver
solchen,such
ner,ner
geschossen,shot
lager,warehouse
besprechen,discuss
reihe,line
polizisten,police officers
vogel,bird
legt,places
strand,Beach
amerikaner,American
schwarz,black
fern,remote
fick,fuck
scherz,joke
san,San
erzählte,told
wichser,wanker
jake,jake
langweilig,boring
womit,by which
geschäfte,businesses
my,my
kapiert,Got it
nachher,later
verlangt,requested
schlägt,beats
überzeugt,convinced
irgendjemand,Someone
rot,red
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,to travel
termin,meeting
gang,gear
stehlen,steal
rechte,right
rache,revenge
bemerkt,noticed
frankreich,France
stört,disturbs
radio,radio
beruhige,calm down
pferde,horses
vertrag,contract
arbeitest,worker
dienst,service
zählt,counts
fragst,asking
wesen,beings
bürgermeister,mayor
emma,Emma
fluss,River
woran,what
geblieben,remained
durcheinander,confused
me,me
ted,ted
nette,nice
test,test
mister,mister
dadurch,thereby
direktor,director
wichtiger,more important
kevin,Kevin
scott,scott
karriere,Career
akte,file
erinnerung,memory
großmutter,grandmother
erzähle,tell
lösen,solve
bravo,Bravo
griff,Handle
verfolgen,pursue
zweifel,doubt
such,search
sprache,language
nerven,annoy
officer,officer
andy,Andy
langer,longer
ziehe,pull
entlassen,fire
zweimal,twice
abholen,collect
washington,Washington
kollegen,colleagues
doc,Doc
fass,barrel
szene,scene
robin,Robin
scheinen,seem to be
bösen,nourish
schaffe,creation
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry
